S1,S2
-0.00446318905214868,0.5760415461324571
-0.009984422536715084,1.0460175825117275
-0.009714318640523883,0.6306409139627196
-0.010938547868251778,0.1088652940595082
-0.023264975815243498,0.3837862621518746
-0.03361876304338742,-0.0603343357065394
-0.021210065042203387,-1.912880092000268
0.025941649693066893,-3.680856016839906
0.10484300226324322,-6.342638765406996
0.21330455353965994,-6.900681379335869
0.3470564185607379,-6.559616382355638
0.5023128778497108,-7.614809517053323
0.6753758248557578,-6.403452880887711
0.8613990532287837,-6.739937542446725
1.0517500462696827,-5.634232424876521
1.2401111487705125,-7.050577033581041
1.4195593499884507,-6.34384112171935
1.590075755323338,-6.672315821981733
1.7452704658418317,-4.319805267555522
1.8889762544847326,-2.651676022285112
2.03014428706521,-1.149286216003068
2.1688263349283563,0.0810213369334436
2.2881455478919785,1.6133466176143525
2.4001042356901743,-0.418116944261115
2.4951260270383147,-2.1855957919978994
2.56532729100451,-2.8600146600033067
2.611277629251115,-2.3022463579867165
2.6374718296739372,-1.9494493035004432
2.6737867303263108,-0.8086412026901783
2.729189316541932,-1.9160722991882435
2.784970852753865,-2.206682381715937
2.8486345837793077,-3.352996250832738
2.93685482958674,-2.76991665674684
3.0578719914932284,-1.8152019845219949
3.221013265481909,-0.943351018039453
3.4190136583576027,-1.0074079499592017
3.650923512676254,-0.8916755019946546
3.916867015589163,-1.174938221183908
4.224365120778477,-2.0224173490434563
4.572605712013503,-3.2272424874501957
4.952003471921786,-3.672221845645181
5.3563280840512295,-3.4503799341628247
5.78210239272969,-3.1399283550277746
6.2189007037781066,-4.079675103193251
6.672854902389912,-6.64115938690423
7.163372613959148,-5.116052387556826
7.698105305484375,-2.987762900430186
8.274752233410656,-3.9603903075562696
8.87567406850675,-6.103523110655887
9.48651638506459,-7.222274308399636
10.11625557324784,-6.133889452503638
10.74884990916874,-6.835330719987407
11.363573336147521,-5.8667546160827255
11.963633923451802,-6.1855621590584455
12.530480218952569,-4.755363281795038
13.07463452340555,-1.5199236345569864
13.611136068383637,-1.3451795487502178
14.136439187132652,-3.017587169996836
14.663128670311972,-4.890099712982082
15.193321407456674,-5.841976579149328
15.73029670186623,-5.234057399477389
16.28367856099127,-3.76937813258352
16.849411488889675,-1.483596190677507
17.41440503248873,-0.1008817212119047
17.969629544696183,1.8992855930912809
18.522659444407886,1.450273052477102
19.07026006377899,0.8587643280333879
19.60315241561725,0.5179325030345692
20.139757870831183,0.336655987437493
20.702594285314685,0.5345066583820295
21.265387303832203,-0.557749468906229
21.80853654284669,-0.5768229618132861
22.352172743732716,-0.8536005810509918
22.89781998329076,-0.3637337226508494
23.44328706453105,1.0640662143893371
23.96912601640086,2.849927001481687
24.486962781142488,4.398033122647978
24.980859681662693,2.2684623760014206
25.45146615659753,1.1422767210707343
25.89381528725225,-0.9666984290899416
26.30873747472797,-2.066154976161764
26.71958863583305,-2.372802695154538
27.12559385731556,-1.8561905163892287
27.51783510575388,-0.8370942027858629
27.89662799546699,-0.4408328358862938
28.25290545720041,1.3446457828215712
28.583570546175032,1.727268167688595
28.89415608515499,1.7149782566103102
29.191151725805106,0.6326368542249563
29.49592186228485,-0.1131842602927912
29.815186813835584,-0.928049841396193
30.128090111252124,-0.093626855272225
30.435300330228014,1.1111711383291034
30.730837254442534,0.7710704792853832
31.00857827147888,1.505961398436917
31.278599725009148,2.402843058919826
31.54668001763048,3.996212345367361
31.80120543170248,5.257948518204956
32.04855143299996,4.405880347685861
32.28104380226353,3.3411978494016705
32.490214758983655,3.671198552884407
32.69435367948903,4.313489111286115
32.889975079048156,3.6500447828362073
33.073847145571094,3.628518629299757
33.2524446511232,3.5447325365059124
33.434012124261585,3.2109445320805774
33.610845679017594,1.4491235149974433
33.7981761644799,1.3849010223342857
